mutation,label,global,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming
mutation_completely_dif,passing,0.259930,0.377570,0.316667,0.351220,0.251220,0.194937,0.152632,0.156322,0.156322,0.174074,0.269630,0.283969,0.256566,0.293023,0.293023,0.310828,0.267692,0.277660,0.277660,0.277660
mutation_completely_dif_2,passing,0.211900,0.360748,0.309259,0.334146,0.251220,0.220253,0.255914,0.209877,0.209877,0.227273,0.361983,0.368142,0.115294,0.118095,0.119614,0.125503,0.109794,0.111111,0.108995,0.108995
mutation_15,failing,0.865258,1.000000,1.000000,1.000000,0.768293,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_18,failing,0.851446,0.988889,0.988991,0.985542,0.744578,0.740000,0.772340,0.765854,0.765854,0.806742,0.859016,0.859649,0.870000,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
mutation_23,failing,0.865258,1.000000,1.000000,1.000000,0.768293,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_24,failing,0.865258,1.000000,1.000000,1.000000,0.768293,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_26,failing,0.865258,1.000000,1.000000,1.000000,0.768293,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_31,failing,0.847937,0.977570,0.977778,0.970732,0.743902,0.746835,0.778495,0.772840,0.772840,0.800000,0.854545,0.854867,0.865546,0.853333,0.853333,0.853333,0.858716,0.858716,0.858716,0.858716
mutation_34,failing,0.851446,0.988889,0.988991,0.985542,0.744578,0.740000,0.772340,0.765854,0.765854,0.806742,0.859016,0.859649,0.870000,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
mutation_40,failing,0.865258,1.000000,1.000000,1.000000,0.768293,0.764557,0.793548,0.790123,0.790123,0.818182,0.867769,0.869027,0.878992,0.868571,0.868571,0.868571,0.873394,0.873394,0.873394,0.873394
mutation_43,failing,0.851446,0.988889,0.988991,0.985542,0.744578,0.740000,0.772340,0.765854,0.765854,0.806742,0.859016,0.859649,0.870000,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
mutation_44,failing,0.851446,0.988889,0.988991,0.985542,0.744578,0.740000,0.772340,0.765854,0.765854,0.806742,0.859016,0.859649,0.870000,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
mutation_7,failing,0.851446,0.988889,0.988991,0.985542,0.744578,0.740000,0.772340,0.765854,0.765854,0.806742,0.859016,0.859649,0.870000,0.858491,0.858491,0.858491,0.863636,0.863636,0.863636,0.863636
