mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_35,passing,0.914757,0.990741,0.981651,0.975904,0.771084,0.746835,0.808511,0.792683,0.792683,0.831461,0.909836,0.912281,1.000000,0.916667,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_36,passing,0.919249,0.946429,0.964286,0.987952,0.771084,0.775000,0.810526,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_37,passing,0.923371,0.990654,0.990741,0.987805,0.780488,0.784810,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_38,passing,0.789682,0.918919,0.936937,0.963415,0.698795,0.708861,0.723404,0.530864,0.530864,0.545455,0.636364,0.663717,1.000000,0.697479,0.704762,0.704762,0.704762,0.715596,0.715596,0.715596,0.715596,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_39,passing,0.705118,0.962963,0.842593,0.797619,0.588235,0.542169,0.533981,0.419753,0.419753,0.431818,0.545455,0.557522,1.000000,0.563025,0.580952,0.580952,0.580952,0.596330,0.596330,0.596330,0.596330,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_4,passing,0.923713,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_41,passing,0.917548,0.990741,0.990826,0.987952,0.795181,0.787500,0.819149,0.804878,0.804878,0.813187,0.895161,0.904348,1.000000,0.909091,0.905660,0.905660,0.905660,0.909091,0.909091,0.909091,0.909091,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.925981,1.000000,1.000000,1.000000,0.804878,0.797468,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,passing,0.436710,0.457944,0.268519,0.317073,0.243902,0.151899,0.139785,0.160494,0.160494,0.181818,0.231405,0.247788,1.000000,0.226891,0.228571,0.228571,0.228571,0.220183,0.220183,0.220183,0.220183,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.923713,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_48,passing,0.915005,0.990654,0.990741,0.987805,0.768293,0.772152,0.806452,0.790123,0.790123,0.818182,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_49,passing,0.787779,0.962617,0.962963,0.951220,0.710843,0.708861,0.731183,0.518519,0.518519,0.534091,0.628099,0.654867,1.000000,0.689076,0.695238,0.695238,0.695238,0.706422,0.706422,0.706422,0.706422,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_5,passing,0.777383,0.943925,0.944444,0.951807,0.666667,0.683544,0.709677,0.493827,0.493827,0.522727,0.619835,0.654867,1.000000,0.680672,0.685714,0.685714,0.685714,0.697248,0.697248,0.697248,0.697248,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_6,passing,0.913821,0.981308,0.981481,0.975610,0.768293,0.772152,0.806452,0.790123,0.790123,0.818182,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_8,passing,0.794381,0.971963,0.962963,0.951220,0.722892,0.721519,0.741935,0.530864,0.530864,0.545455,0.636364,0.663717,1.000000,0.697479,0.704762,0.704762,0.704762,0.715596,0.715596,0.715596,0.715596,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_9,passing,0.923713,1.000000,0.990741,0.987805,0.792683,0.772152,0.827957,0.814815,0.814815,0.840909,0.917355,0.920354,1.000000,0.924370,0.914286,0.914286,0.914286,0.917431,0.917431,0.917431,0.917431,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif,passing,0.754022,0.757009,0.750000,0.756098,0.524390,0.518987,0.569892,0.543210,0.543210,0.568182,0.727273,0.725664,1.000000,0.680672,0.704762,0.704762,0.704762,0.706422,0.706422,0.706422,0.706422,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif_2,passing,0.841447,0.935780,0.927273,0.928571,0.623529,0.634146,0.663265,0.632184,0.632184,0.666667,0.779528,0.788136,1.000000,0.819672,0.831776,0.831776,0.831776,0.837838,0.837838,0.837838,0.837838,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif,passing,0.501646,0.429907,0.379630,0.426829,0.304878,0.227848,0.192982,0.195402,0.195402,0.222222,0.340741,0.351145,1.000000,0.323232,0.360465,0.360465,0.382166,0.328205,0.340426,0.340426,0.340426,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif_2,passing,0.453087,0.420561,0.361111,0.402439,0.292683,0.253165,0.311828,0.234568,0.234568,0.261364,0.421488,0.442478,1.000000,0.141176,0.146032,0.147910,0.154362,0.139175,0.140212,0.137566,0.137566,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
