mutation,label,avg,V8.TFBytecodeGraphBuilder,V8.TFInlining,V8.TFEarlyTrimming,V8.TFTyper,V8.TFTypedLowering,V8.TFLoopPeeling,V8.TFLoadElimination,V8.TFEscapeAnalysis,V8.TFSimplifiedLowering,V8.TFGenericLowering,V8.TFEarlyOptimization,effect linearization schedule,V8.TFEffectLinearization,V8.TFStoreStoreElimination,V8.TFControlFlowOptimization,V8.TFLateOptimization,V8.TFMemoryOptimization,V8.TFMachineOperatorOptimization,V8.TFDecompressionOptimization,V8.TFLateGraphTrimming,schedule,V8.TFSelectInstructions,before register allocation,after register allocation,code generation,disassembly
mutation_30,passing,0.922134,1.000000,0.990741,0.987805,0.780488,0.759494,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_32,passing,0.924402,1.000000,1.000000,1.000000,0.792683,0.784810,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_33,passing,0.824113,0.953704,0.954128,0.939759,0.678571,0.662500,0.663158,0.530864,0.530864,0.534091,0.661157,0.745614,1.000000,0.789916,0.822430,0.822430,0.822430,0.828829,0.828829,0.828829,0.828829,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_35,passing,0.913181,0.990741,0.981651,0.975904,0.759036,0.734177,0.819149,0.817073,0.817073,0.853933,0.893443,0.903509,1.000000,0.908333,0.896226,0.896226,0.896226,0.900000,0.900000,0.900000,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_36,passing,0.914770,0.937500,0.955357,0.975904,0.746988,0.750000,0.800000,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_37,passing,0.920499,0.990654,0.981481,0.975610,0.756098,0.772152,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_38,passing,0.745849,0.891892,0.927928,0.951220,0.662651,0.683544,0.691489,0.469136,0.469136,0.488636,0.578512,0.575221,1.000000,0.613445,0.619048,0.619048,0.619048,0.633028,0.633028,0.633028,0.633028,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_39,passing,0.653582,0.953704,0.824074,0.773810,0.541176,0.493976,0.495146,0.358025,0.358025,0.375000,0.487603,0.460177,1.000000,0.462185,0.476190,0.476190,0.476190,0.495413,0.495413,0.495413,0.495413,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_4,passing,0.922134,1.000000,0.990741,0.987805,0.780488,0.759494,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_41,passing,0.915974,0.990741,0.990826,0.987952,0.783133,0.775000,0.829787,0.829268,0.829268,0.835165,0.879032,0.895652,1.000000,0.900826,0.896226,0.896226,0.896226,0.900000,0.900000,0.900000,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_42,passing,0.924402,1.000000,1.000000,1.000000,0.792683,0.784810,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_46,passing,0.411437,0.448598,0.212963,0.243902,0.182927,0.139241,0.118280,0.135802,0.135802,0.170455,0.198347,0.212389,1.000000,0.193277,0.190476,0.190476,0.190476,0.183486,0.183486,0.183486,0.183486,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_47,passing,0.922134,1.000000,0.990741,0.987805,0.780488,0.759494,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_48,passing,0.909460,0.981308,0.981481,0.975610,0.743902,0.759494,0.806452,0.790123,0.790123,0.840909,0.884298,0.902655,1.000000,0.907563,0.895238,0.895238,0.895238,0.899083,0.899083,0.899083,0.899083,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_49,passing,0.743418,0.943925,0.944444,0.926829,0.674699,0.683544,0.698925,0.456790,0.456790,0.477273,0.570248,0.566372,1.000000,0.605042,0.609524,0.609524,0.609524,0.623853,0.623853,0.623853,0.623853,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_5,passing,0.728077,0.915888,0.925926,0.927711,0.619048,0.658228,0.677419,0.432099,0.432099,0.465909,0.553719,0.548673,1.000000,0.579832,0.590476,0.590476,0.590476,0.605505,0.605505,0.605505,0.605505,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_6,passing,0.907450,0.971963,0.962963,0.951220,0.743902,0.759494,0.806452,0.790123,0.790123,0.840909,0.884298,0.902655,1.000000,0.907563,0.895238,0.895238,0.895238,0.899083,0.899083,0.899083,0.899083,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_8,passing,0.751204,0.962617,0.953704,0.939024,0.686747,0.696203,0.709677,0.469136,0.469136,0.488636,0.578512,0.575221,1.000000,0.613445,0.619048,0.619048,0.619048,0.633028,0.633028,0.633028,0.633028,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_9,passing,0.922134,1.000000,0.990741,0.987805,0.780488,0.759494,0.838710,0.839506,0.839506,0.863636,0.900826,0.911504,1.000000,0.915966,0.904762,0.904762,0.904762,0.908257,0.908257,0.908257,0.908257,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif,passing,0.708117,0.710280,0.703704,0.695122,0.463415,0.455696,0.505376,0.456790,0.456790,0.522727,0.661157,0.654867,1.000000,0.613445,0.647619,0.647619,0.647619,0.642202,0.642202,0.642202,0.642202,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_all_dif_2,passing,0.815201,0.908257,0.900000,0.892857,0.576471,0.597561,0.622449,0.574713,0.574713,0.645161,0.724409,0.737288,1.000000,0.786885,0.803738,0.803738,0.803738,0.810811,0.810811,0.810811,0.810811,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif,passing,0.450107,0.373832,0.324074,0.341463,0.231707,0.189873,0.131579,0.160920,0.160920,0.194444,0.266667,0.282443,1.000000,0.232323,0.267442,0.267442,0.286624,0.241026,0.250000,0.250000,0.250000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
mutation_completely_dif_2,passing,0.408464,0.336449,0.305556,0.304878,0.231707,0.189873,0.215054,0.197531,0.197531,0.227273,0.355372,0.353982,1.000000,0.094118,0.085714,0.086817,0.093960,0.087629,0.087302,0.084656,0.084656,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
